iata,icao,airport_id
DES,FSDR,992
NDJ,FTTJ,999
SEZ,FSIA,994
FYT,FTTY,1000
MQQ,FTTD,998
VFA,FVFA,1004
,FVCP,1002
BUQ,FVBU,1001
HRE,FVHA,1005
GWE,FVTL,1011
HWN,FVWN,1012
KGJ,FWKA,1014
,FVSH,1010
LLW,FWKI,1016
ZZU,FWUU,1017
UTA,FVMU,1008
BLZ,FWCL,1013
NLO,FZAB,1021
KAB,FVKB,1006
,FXMU,1019
,FZAI,1023
FDU,FZBO,1024
FIH,FZAA,1020
KLI,FZFP,1029
BDT,FZFD,1027
MNB,FZAG,1022
KKW,FZCA,1025
MDK,FZEA,1026
GMA,FZFK,1028
MSU,FXMM,1018
BUX,FZKA,1033
FKI,FZIC,1031
BZU,FZKJ,1034
KGA,FZUA,1042
KND,FZOA,1037
IRP,FZJH,1032
MJM,FZWA,1043
KWZ,FZQM,1039
GOM,FZNA,1036
BKO,GABS,1044
FMI,FZRF,1040
KMN,FZSA,1041
FBM,FZQA,1038
KYS,GAKY,1046
GAQ,GAGO,1045
MZB,FQMP,981
MZI,GAMB,1047
BKY,FZMA,1035
,FVMT,1007
,FSSC,996
BJL,GBYD,1050
TOM,GATB,1048
,GATS,1049
,FSAL,991
MVZ,FVMV,1009
LIQ,FZGA,1030
KBQ,FWKG,1015
SPC,GCLA,1053
FUE,GCFV,1051
VDE,GCHI,1052
LPA,GCLP,1054
TFN,GCXO,1057
AGA,GMAD,1064
,GGCF,1060
ACE,GCRR,1055
MLW,GLMR,1062
TFS,GCTS,1056
FNA,GFLL,1059
MLN,GEML,1058
TTA,GMAT,1065
GMD,GMMB,1071
RBA,GMME,1072
TNG,GMTT,1080
CSK,GOGS,1082
ZIG,GOGG,1081
KLC,GOOK,1083
TTU,GMTN,1079
,GMFI,1067
MEK,GMFM,1069
FEZ,GMFF,1066
ERH,GMFK,1068
BXE,GOTB,1086
OUD,GMFO,1070
XLS,GOSS,1085
OZZ,GMMZ,1077
TUD,GOTT,1088
DKR,GOOY,1084
TIY,GQND,1090
KFA,GQNF,1091
RAK,GMMX,1075
NDB,GQPP,1097
KED,GQNK,1093
EMN,GQNI,1092
NKC,GQNO,1094
ATR,GQPA,1096
AEO,GQNA,1089
FIG,GUFA,1099
KGG,GOTK,1087
AHU,GMTA,1078
SEY,GQNS,1095
SID,GVAC,1102
,GQPT,1098
VXE,GVSV,1106
CMN,GMMN,1074
BVC,GVBA,1103
SNE,GVSN,1105
LEK,GULB,1101
ADD,HAAB,1107
AMH,HAAM,1109
LLI,HALL,1117
,HAAL,1108
AXU,HAAX,1110
DIR,HADR,1112
BJR,HABD,1111
GMB,HAGM,1113
GDQ,HAGN,1114
JIM,HAJM,1116
KMU,HCMK,1123
MQX,HAMK,1118
NNA,GMMY,1076
ASO,HASO,1119
BBO,HCMI,1122
ROB,GLRB,1063
ALY,HEAX,1126
BJM,HBBA,1120
HRG,HEGN,1130
CAI,HECA,1128
ABS,HEBL,1127
LXR,HELX,1132
EGH,HEGR,1131
CWE,HECW,1129
PSD,HEPS,1134
ASW,HESN,1136
GGM,HKKG,1139
MUH,HEMM,1133
EDL,HKEL,1138
HGA,HCMH,1121
